country,Year,Age,Suicide_Number,Population,GdpForYear,GdpPerCapital
United States,2009,5,6851,26664733,"14,418,739,000,000",50563
United States,2009,3,4293,20205941,"14,418,739,000,000",50563
United States,2009,2,3595,22343137,"14,418,739,000,000",50563
United States,2009,4,3664,42836835,"14,418,739,000,000",50563
United States,2009,5,1875,29296258,"14,418,739,000,000",50563
United States,2009,3,1027,19992900,"14,418,739,000,000",50563
United States,2009,2,776,21299140,"14,418,739,000,000",50563
United States,2009,6,389,11101144,"14,418,739,000,000",50563
United States,2009,1,175,21139852,"14,418,739,000,000",50563
United States,2009,1,90,20181953,"14,418,739,000,000",50563
United States,2010,6,2617,7263596,"14,964,372,000,000",51989
United States,2010,4,11767,42798501,"14,964,372,000,000",51989
United States,2010,5,7287,27667895,"14,964,372,000,000",51989
United States,2010,3,4645,20409866,"14,964,372,000,000",51989
United States,2010,2,3772,22463069,"14,964,372,000,000",51989
United States,2010,4,3604,42711237,"14,964,372,000,000",51989
United States,2010,5,2071,30326595,"14,964,372,000,000",51989
United States,2010,3,1092,20180858,"14,964,372,000,000",51989
United States,2010,2,830,21395712,"14,964,372,000,000",51989
United States,2010,6,403,11163521,"14,964,372,000,000",51989
United States,2010,1,187,21207667,"14,964,372,000,000",51989
United States,2010,1,87,20250632,"14,964,372,000,000",51989
